id,text,image_path,true_label,scores
cpy9p6,bunny rock,cpy9p6.jpg,0,19.64936065673828
15dcu6,excited ashtray,15dcu6.jpg,0,24.535158157348633
auk0vy,this image of spike lee and sam jackson at the oscars,auk0vy.jpg,1,35.90064239501953
c2o619,this is what it looks like behind the dome screen of an omnimax museum theatre,c2o619.jpg,1,28.136838912963867
baydyy,report reveals jesus christ have benefited from fathers influential position to gain highpowered role as lord and savior,baydyy.jpg,0,27.765487670898438
20uup4,barack obama dancing with ellen degeneres,20uup4.jpg,1,40.80359649658203
cftdth3,quit horsing around,cftdth3.jpg,0,27.20628547668457
63r5xj,comfort cases former foster child helps other kids in foster care,63r5xj.jpg,1,28.551273345947266
ckbnyyo,other discussions,ckbnyyo.jpg,0,18.256622314453125
er6eggt,available here,er6eggt.jpg,0,19.701719284057617
c0xtrn,this leaf in the shape of an upvotedownvote,c0xtrn.jpg,1,19.00204849243164
49h4rm,a tattoo artist is covering up the scars of people who have overcome self harm for free,49h4rm.jpg,1,29.308753967285156
7isuvk,this little guy stuck in the snow,7isuvk.jpg,0,28.88462257385254
cf5c7r5,a wedding to bark about,cf5c7r5.jpg,0,18.32708168029785
cmeidmd,looter land,cmeidmd.jpg,0,26.15691375732422
75yogr,your cable company would hate us if it knew we told you about this device on amazon,75yogr.jpg,0,28.17888832092285
cainsb0,theres only one girl in this picture for me,cainsb0.jpg,0,25.892684936523438
9r3pbe,the difference the light makes on these tiles,9r3pbe.jpg,1,23.462865829467773
5hn94m,a fish in the new england aquarium,5hn94m.jpg,1,26.343433380126953
4vblj5,he cant do it alone proempire long long ago date unknown,4vblj5.jpg,0,24.349679946899414
60o1d9,the flying tigers of the free world strike again korean warera leaflet,60o1d9.jpg,0,8.3007230758667
cfby7hv,im not entirely sure where i was going with this,cfby7hv.jpg,0,19.954336166381836
cb4phn0,imgur,cb4phn0.jpg,0,23.819177627563477
dplirxv,scooty puff jr,dplirxv.jpg,0,25.392269134521484
awvwhf,mini wireless keyboard lighter for scale,awvwhf.jpg,1,31.570545196533203
rofsr,the future of paris,rofsr.jpg,1,30.670738220214844
c015wz,rules of an immoral park,c015wz.jpg,1,26.376096725463867
4uw2sy,cop brought to tears by mans request after traffic stop,4uw2sy.jpg,1,27.957557678222656
d0mecva,i want ice cream,d0mecva.jpg,0,24.03266143798828
chc5a23,whats worse than lobsters on your piano crabs on your organ,chc5a23.jpg,0,21.246599197387695
atmab5,how do you get such a perfect photo,atmab5.jpg,0,22.097509384155273
bycndo,king kong vs godzilla,bycndo.jpg,0,20.49003791809082
dc75clc,meal deal,dc75clc.jpg,0,24.496837615966797
d0fls8g,duckline bling,d0fls8g.jpg,0,29.53965950012207
d33aq3y,kim derpun,d33aq3y.jpg,0,20.514442443847656
e1s6ins,nice human,e1s6ins.jpg,0,21.587322235107422
2on0u9,what does this creature want from me heat me up with some good music,2on0u9.jpg,0,21.96432876586914
bdby0z,the notes on a conditional form,bdby0z.jpg,0,28.063207626342773
c7dobn,the reinforcement on these identical pieces of duplo lego,c7dobn.jpg,1,32.06114196777344
crczvy,at halftime of sdsus basketball game they auction off a pig,crczvy.jpg,1,29.859926223754883
byh5dw,revolution syria,byh5dw.jpg,0,29.311588287353516
9fb69a,this spider on my back porch disguises itself as a stick to fool prey,9fb69a.jpg,1,29.951805114746094
blqg9q,in just over two years the copper in my iems has turned green new pair to the right for comparison,blqg9q.jpg,1,34.34500503540039
cwgb6w,the way this mosquitorepellant spiral burned,cwgb6w.jpg,1,30.448453903198242
cjbioio,you are about to embark upon the great crusade toward which we have striven these many months,cjbioio.jpg,0,22.644939422607422
cqv6i8o,skiing man,cqv6i8o.jpg,0,29.18842887878418
cix1u0q,they live,cix1u0q.jpg,0,20.24442481994629
cs1i5xh,earthquake,cs1i5xh.jpg,0,19.29821014404297
bjq753,ronald reagan getting shot at a attempted murder cira,bjq753.jpg,0,25.44532012939453
cas051,a dying bee in a park on a grilled onion,cas051.jpg,1,30.23320960998535
o0bwb,rc car controller cannot unsee,o0bwb.jpg,0,28.6608829498291
cna3nyo,this otter going down a slide,cna3nyo.jpg,0,33.832523345947266
33idfz,reports pregnant popeyes manager fired after refusing to pay for armed robbery,33idfz.jpg,1,30.467506408691406
