id,text,image_path,true_label,generated_text
3948of,piglets on the loose after truck overturns,3948of.jpg,1,pigs are a species of animal that live in the wild
chb5foi,quick and obvious,chb5foi.jpg,0,a quick and obvious match is a match that is obvious
9f7p90,happy fella in my penske rental,9f7p90.jpg,0,a happy fella in my pen is a happy fella in my pen
8fw3po,oo,8fw3po.jpg,0,no the image is not a match
avafi5,this playable cd in the shape of a square,avafi5.jpg,1,this playable cd in the shape of a square
2auudp,a sun bear sitting down x,2auudp.jpg,1,no
9j3a9w,not sure how i feel about this,9j3a9w.jpg,1,i'm not sure how i feel about this
39mh2p,fine sushi,39mh2p.jpg,0,a fine sushi is a type of sushi that is made with a variety of ingredients
bl11vl,this car has a door bolt,bl11vl.jpg,1,this car has a door bolt
143c94,the shadow,143c94.jpg,1,a shadow is a shadow of something else
61uy4u,el chapo escapes altiplano prison th,61uy4u.jpg,0,el chapo escapes altiplano prison th
chli5s,this lighting desk has oops and please keys,chli5s.jpg,1,a computer keyboard has a keyboard with a keyboard with a keyboard with a keyboard with a keyboard with a keyboard with a keyboard with a keyboard with a keyboard with a keyboard with a keyboard with 
cpy9p6,bunny rock,cpy9p6.jpg,0,no the image is not the same as the text
15dcu6,excited ashtray,15dcu6.jpg,0,a ashtray is a container for holding ash
auk0vy,this image of spike lee and sam jackson at the oscars,auk0vy.jpg,1,no this image of spike lee and sam jackson at the oscars is not the same as the image
c2o619,this is what it looks like behind the dome screen of an omnimax museum theatre,c2o619.jpg,1,a tv screen is a screen that is curved and curved to show the image on it
baydyy,report reveals jesus christ have benefited from fathers influential position to gain highpowered role as lord and savior,baydyy.jpg,0,christianity is a religion that teaches that the savior is the only way to salvation
20uup4,barack obama dancing with ellen degeneres,20uup4.jpg,1,no
cftdth3,quit horsing around,cftdth3.jpg,0,no the image is not the same as the text
63r5xj,comfort cases former foster child helps other kids in foster care,63r5xj.jpg,1,a former foster child helps other kids in foster care
ckbnyyo,other discussions,ckbnyyo.jpg,0,'other discussions' is a phrase that can be used to describe a topic that is not covered in the other discussions
er6eggt,available here,er6eggt.jpg,0,'available here' is a phrase that can be used to describe a product or service
c0xtrn,this leaf in the shape of an upvotedownvote,c0xtrn.jpg,1,this leaf in the shape of an upvotedownvote is a leaf in the shape of an upvotedownvote
49h4rm,a tattoo artist is covering up the scars of people who have overcome self harm for free,49h4rm.jpg,1,a tattoo artist is covering up the scars of people who have overcome self harm for free
7isuvk,this little guy stuck in the snow,7isuvk.jpg,0,this little guy stuck in the snow
cf5c7r5,a wedding to bark about,cf5c7r5.jpg,0,a wedding to bark about
cmeidmd,looter land,cmeidmd.jpg,0,a lone wolf in a forest
75yogr,your cable company would hate us if it knew we told you about this device on amazon,75yogr.jpg,0,"if it is true, the tv would be a tv that is a tv that is a tv that is a tv that is a tv that is a "
cainsb0,theres only one girl in this picture for me,cainsb0.jpg,0,a girl is in the picture
9r3pbe,the difference the light makes on these tiles,9r3pbe.jpg,1,the difference between the two images is the difference in the light
5hn94m,a fish in the new england aquarium,5hn94m.jpg,1,a fish in the new england aquarium
4vblj5,he cant do it alone proempire long long ago date unknown,4vblj5.jpg,0,he cant do it alone he cant do it alone he cant do it alone he cant do it alone he cant do it alone he cant do it alone he cant do it alone 
60o1d9,the flying tigers of the free world strike again korean warera leaflet,60o1d9.jpg,0,'the flying tigers of the free world strike again korean war leaflet'
